Country,Capital,Austria,Belgium,Bulgaria,Croatia,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Netherlands,Poland,Portugal,Romania,Slovak Republic,Slovenia,Spain,Sweden,Moldova,"Armenia, Republic of",Switzerland,Norway,Iceland,Ukraine,Albania,Georgia,United Kingdom,Turkey,Belarus,Bosnia and Herzegovina,"Serbia, Republic of",Russian Federation
Austria,Vienna,/,917,818,270,251,876,1361,1439,1037,525,1280,233,1687,765,1103,950,938,590,2300,866,56,279,1812,1247,946,2403,688,1355,2893,1054,815,2342,1237,1600,1006,511,496,1674
Belgium,Brussels,917,/,1701,1026,720,764,1602,1649,266,648,2089,1149,780,1182,1458,1472,171,1170,1713,1782,971,921,1315,1284,1835,3305,492,1087,2132,1837,1594,3233,321,2514,1609,1310,1382,2260
Bulgaria,Sofia,818,1701,/,680,1066,1644,1860,1944,1762,1321,522,615,2480,888,1584,1339,1747,599,2758,294,775,794,2259,1890,644,1786,1340,2100,3708,1022,331,1733,2017,854,1282,424,323,1777
Croatia,Zagreb,270,1026,680,/,490,1130,1625,1704,1083,771,1076,310,1806,513,1361,1190,1088,841,2201,818,276,116,1703,1518,997,2395,669,1611,3091,1196,589,2354,1340,1520,1225,288,375,1873
Czech Republic,Prague,251,720,1066,490,/,641,1230,1302,887,281,1530,461,1470,924,996,899,714,540,2245,1089,291,449,1774,1060,1115,2585,626,1122,2643,1141,1062,2513,1036,1826,995,755,746,1672
Denmark,Copenhagen,876,764,1644,1130,641,/,842,885,1028,361,2140,1034,1232,1540,733,826,622,633,2477,1592,901,1085,2071,526,1491,2910,1039,481,2103,1334,1691,2806,953,2302,991,1387,1342,1572
Estonia,Tallinn,1361,1602,1860,1625,1230,842,/,84,1863,1054,2380,1382,2004,2125,277,528,1464,794,3315,1675,1349,1636,2895,383,1408,2547,1800,793,2458,1057,1104,2408,1788,2231,638,1788,1651,869
Finland,Helsinki,1439,1649,1944,1704,1302,885,84,/,1912,1108,2464,1464,2021,2202,361,611,1506,876,3362,1758,1428,1713,2949,396,1488,2605,1863,790,2421,1132,2127,2463,1823,2308,716,1870,1734,898
France,Paris,1037,266,1762,1083,887,1028,1863,1912,/,877,2097,1266,787,1117,1709,1704,429,1383,1452,1883,1095,969,1050,1549,1981,3439,437,1345,2237,2027,1607,3379,343,2601,1833,1349,1456,2495
Germany,Berlin,525,648,1321,771,281,361,1054,1108,877,/,1801,707,1315,1185,850,828,576,526,2310,1308,555,724,1866,818,1271,2732,754,842,2390,1207,1340,2645,929,2037,962,1034,1008,1619
Greece,Athens,1280,2089,522,1076,1530,2140,2380,2464,2097,1801,/,1107,2860,1040,2104,1855,2162,1631,2854,735,1246,1172,2374,2410,1081,1808,1661,2606,4165,1485,495,1845,2391,824,1788,788,798,2227
Hungary,Budapest,233,1149,615,310,461,1034,1382,1464,1266,707,1107,/,1918,811,1109,911,1166,588,2486,634,179,393,1991,1333,727,2173,898,1499,3095,888,683,2117,1470,1370,928,407,309,1566
Ireland,Dublin,1687,780,2480,1806,1470,1232,2004,2021,787,1315,2860,1918,/,1903,1955,2054,757,1826,1625,2553,1740,1698,1458,1625,2575,4043,1213,1259,1489,2516,2365,3960,469,3288,2215,2088,2161,2800
Italy,Rome,765,1182,888,513,924,1540,2125,2202,1117,1185,1040,811,1903,/,1867,1703,1304,1351,1873,1136,783,489,1377,1984,1408,2673,697,2014,3315,1672,604,2661,1444,1716,1736,516,720,2376
Latvia,Riga,1103,1458,1584,1361,996,733,277,361,1709,850,2104,1109,1955,1867,/,264,1337,523,3155,1405,1086,1380,2715,450,1153,2377,1593,849,2583,831,1767,2248,1681,1987,404,1514,1374,845
Lithuania,Vilnius,950,1472,1339,1190,899,826,528,611,1704,828,1855,911,2054,1703,264,/,1376,365,3126,1147,923,1227,2666,686,890,2152,1522,1055,2801,581,1542,2031,1730,1724,170,1308,1151,791
Netherlands,Amsterdam,938,171,1747,1088,714,622,1464,1506,429,576,2162,1166,757,1304,1337,1376,/,1100,1861,1800,989,991,1477,1132,1819,3289,632,918,2022,1783,1670,3209,356,2536,1523,1376,1424,2157
Poland,Warsaw,590,1170,599,841,540,633,794,876,1383,526,1631,588,1826,1351,523,365,1100,/,2781,986,568,869,2314,781,834,2251,1166,1039,2754,690,1258,2152,1454,1661,457,994,866,1133
Portugal,Lisbon,2300,1713,2758,2201,2245,2477,3315,3362,1452,2310,2854,2486,1625,1873,3155,3126,1861,2781,/,2984,2351,2098,501,2993,3199,4544,1624,2740,2955,3354,2473,4525,1585,3587,3238,2355,2539,3913
Romania,Bucharest,866,1782,294,818,1089,1592,1675,1758,1883,1308,735,634,2553,1136,1405,1147,1800,986,2984,/,813,933,2483,1758,357,1579,1485,2018,3690,753,622,1545,2103,736,1063,630,450,1503
Slovak Republic,Bratislava,56,971,775,276,291,901,1349,1428,1095,555,1246,179,1740,783,1086,923,989,568,2351,813,/,306,1861,1252,890,2346,743,1376,2934,1003,791,2286,1291,1548,971,489,455,1634
Slovenia,Ljubljana,279,921,794,116,449,1085,1636,1713,969,724,1172,393,1698,489,1380,1227,991,869,2098,933,306,/,1601,1502,1102,2509,553,1566,3003,1280,679,2466,1231,1635,1276,389,491,1936
Spain,Madrid,1812,1315,2259,1703,1774,2071,2895,2949,1050,1866,2374,1991,1458,1377,2715,2666,1477,2314,501,2483,1861,1601,/,2596,2700,4045,1148,2388,2892,2865,1979,4025,1261,3093,2769,1855,2038,3446
Sweden,Stockholm,1247,1284,1890,1518,1060,526,383,396,1549,818,2410,1333,1625,1984,450,686,1132,781,2993,1758,1252,1502,2596,/,1552,2826,1553,417,2134,1267,2015,2698,1436,2393,845,1730,1632,1236
Moldova,Kishinev,946,1835,644,997,1115,1491,1408,1488,1981,1271,1081,727,2575,1408,1153,890,1819,834,3199,357,890,1102,2700,1552,/,1471,1625,1865,3588,407,959,1400,2151,841,773,893,689,1148
"Armenia, Republic of",Yerevan,2403,3305,1786,2395,2585,2910,2547,2605,3439,2732,1808,2173,4043,2673,2377,2152,3289,2251,4544,1579,2346,2509,4045,2826,1471,/,3058,3207,4953,1584,2081,172,3621,988,1985,2195,2028,1803
Switzerland,Bern,688,492,1340,669,626,1039,1800,1863,437,754,1661,898,1213,697,1593,1522,632,1166,1624,1485,743,553,1148,1553,1625,3058,/,1464,2620,1735,1171,3009,748,2187,1621,920,1044,2299
Norway,Oslo,1355,1087,2100,1611,1122,481,793,790,1345,842,2606,1499,1259,2014,849,1055,918,1039,2740,2018,1376,1566,2388,417,1865,3207,1464,/,1747,1628,2166,3085,1155,2699,1223,1864,1808,1653
Iceland,Reykjavik,2893,2132,3708,3091,2643,2103,2458,2421,2237,2390,4165,3095,1489,3315,2583,2801,2022,2754,2955,3690,2934,3003,2892,2134,3588,4953,2620,1747,/,3375,3679,4829,1894,4405,2968,3377,3389,3317
Ukraine,Kiev,1054,1837,1022,1196,1141,1334,1057,1132,2027,1207,1485,888,2516,1672,831,581,1783,690,3354,753,1003,1280,2865,1267,407,1584,1735,1628,3375,/,1312,1473,2134,1179,427,1179,978,754
Albania,Tirania,815,1594,331,589,1062,1691,1104,2127,1607,1340,495,683,2365,604,1767,1542,1670,1258,2473,622,791,679,1979,2015,959,2081,1171,2166,3679,1312,/,2080,1896,1114,1515,306,393,2064
Georgia,Tbilisi,2342,3233,1733,2354,2513,2806,2408,2463,3379,2645,1845,2117,3960,2661,2248,2031,3209,2152,4525,1545,2286,2466,4025,2698,1400,172,3009,3085,4829,1473,2080,/,3547,1021,1862,2171,1994,1646
United Kingdom,London,1237,321,2017,1340,1036,953,1788,1823,343,929,2391,1470,469,1444,1681,1730,356,1454,1585,2103,1291,1231,1261,1436,2151,3621,748,1155,1894,2134,1896,3547,/,1646,1878,1620,1700,2508
Turkey,Ankara,1600,2514,854,1520,1826,2302,2231,2308,2601,2037,824,1370,3288,1716,1987,1724,2536,1661,3587,736,1548,1635,3093,2393,841,988,2187,2699,4405,1179,1114,1021,2835,/,1593,1278,1146,1782
Belarus,Minsk,1006,1609,1282,1225,995,991,638,716,1833,962,1788,928,2215,1736,404,170,1523,457,3238,1063,971,1276,2769,845,773,1985,1621,1223,2968,427,1515,1862,1878,1593,/,1306,1132,677
Bosnia and Herzegovina,Sarajevo,511,1310,424,288,755,1387,1788,1870,1349,1034,788,407,2088,516,1514,1308,1376,994,2355,630,489,389,1855,1730,893,2195,920,1864,3377,1179,306,2171,1620,1278,1306,/,206,1907
"Serbia, Republic of",Belgrade,496,1382,323,375,746,1342,1651,1734,1456,1008,798,309,2161,720,1374,1151,1424,866,2539,450,455,491,2038,1632,689,2028,1044,1808,3389,978,393,1994,1700,1146,1132,206,/,1713
Russian Federation,Moscow,1674,2260,1777,1873,1672,1572,869,898,2495,1619,2227,1566,2800,2376,845,791,2157,1133,3913,1503,1634,1936,3446,1236,1148,1803,2299,1653,3317,754,2064,1646,2508,1782,677,1907,1713,/
