Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Estimates Start After
Afghanistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.367,4.553,5.146,6.167,6.925,8.556,10.297,12.066,15.325,17.89,20.293,20.17,20.616,20.079,19.454,20.889,21.657,22.925,24.244,25.86,27.783,30,2016
Albania,1.946,2.229,2.296,2.319,2.29,2.339,2.587,2.566,2.53,2.779,2.221,1.333,0.843,1.461,2.361,2.882,3.2,2.259,2.56,3.209,3.483,3.928,4.348,5.611,7.185,8.052,8.905,10.675,12.901,12.093,11.938,12.896,12.323,12.784,13.246,11.338,11.865,13.181,15.289,16.146,17.316,18.547,19.89,21.191,2016
Algeria,42.346,44.372,44.78,47.529,51.513,61.132,61.535,63.3,51.664,52.558,61.892,46.67,49.217,50.963,42.426,42.066,46.941,48.178,48.188,48.845,54.749,54.745,56.761,67.864,85.327,103.198,117.027,134.977,171.001,137.054,161.207,200.251,209.016,209.755,213.81,165.874,159.049,178.287,197.629,208.773,218.601,226.153,235.987,250.596,2016
Angola,5.934,5.554,5.554,5.788,6.135,7.559,7.077,8.089,8.775,10.208,11.236,10.891,8.398,6.095,4.438,5.539,6.535,7.675,6.506,6.153,9.13,8.936,12.497,14.189,19.641,28.234,41.789,60.449,84.178,75.492,82.526,104.116,113.923,124.913,126.73,102.621,95.337,124.209,119.428,121.138,126.809,134.374,143.403,153.706,2015
Antigua and Barbuda,0.131,0.148,0.164,0.182,0.208,0.241,0.29,0.337,0.399,0.439,0.459,0.482,0.499,0.535,0.589,0.577,0.634,0.681,0.728,0.766,0.83,0.801,0.815,0.856,0.92,1.022,1.157,1.311,1.368,1.224,1.152,1.142,1.211,1.193,1.28,1.365,1.46,1.524,1.612,1.693,1.77,1.842,1.916,1.994,2016
Argentina,226.569,184.014,91.376,112.721,126.563,95.593,114.949,117.854,138.044,88.567,153.205,205.515,247.987,256.365,279.15,280.08,295.12,317.549,324.242,307.673,308.491,291.738,108.731,138.151,164.922,199.273,232.892,287.921,363.545,334.633,424.728,527.644,579.666,611.471,563.614,642.464,554.107,637.717,625.921,659.694,698.7,742.307,786.786,831.713,2017
"Armenia, Republic of",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.108,0.835,0.648,1.287,1.597,1.639,1.892,1.845,1.912,2.118,2.376,2.807,3.577,4.9,6.384,9.206,11.662,8.648,9.26,10.142,10.619,11.121,11.61,10.553,10.572,11.548,12.031,12.696,13.385,14.196,15.177,16.224,2016
Australia,162.643,188.085,186.726,179.168,196.796,174.084,181.164,212.732,270.62,307.719,323.21,323.723,317.479,308.712,352.562,378.076,423.61,425.584,380.53,410.865,398.933,376.539,424.182,539.43,655.612,733.746,780.351,946.481,"1,054.24",997.261,"1,249.52","1,511.43","1,566.53","1,515.77","1,454.96","1,232.92","1,264.94","1,379.55","1,500.26","1,581.89","1,666.74","1,754.99","1,852.06","1,958.17",2017
Austria,80.924,70.122,70.111,71.033,67.007,68.624,97.375,121.771,133.592,133.263,166.867,174.435,195.506,190.384,203.97,241.235,237.343,213.045,218.557,217.466,197.338,197.473,214.038,262.146,301.22,316.486,336.279,389.23,432.334,401.187,392.623,431.515,409.652,430.203,442.587,382.258,390.961,416.845,477.672,503.538,527.047,549.514,572.666,595.365,2016
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.193,1.309,2.258,2.417,3.177,3.963,4.28,4.581,5.273,5.475,6.232,7.276,8.682,13.273,21.027,33.09,48.979,44.289,52.913,65.99,69.687,74.16,75.24,50.844,37.81,40.67,45.483,47.926,50.479,53.219,56.104,59.324,2016
